date,close,Name
2018-02-06,29.07,KR
2018-02-07,28.9,KR
2018-01-02,56.35,KSS
2018-01-03,NA,KSS
2018-01-04,54.68,KSS
2018-01-05,NA,KSS
2018-01-08,56.9,KSS
2018-01-09,NA,KSS
2018-01-10,58.84,KSS
2018-01-11,61.12,KSS
2018-01-12,63.87,KSS
2018-01-16,63.4,KSS
2018-01-17,64.59,KSS
2018-01-18,64.85,KSS
2018-01-19,67.54,KSS
2018-01-22,68.17,KSS
2018-01-23,68.83,KSS
2018-01-24,67.7,KSS
2018-01-25,66.79,KSS
2018-01-26,NA,KSS
2018-01-29,67.95,KSS
2018-01-30,65.88,KSS
2018-01-31,64.77,KSS
2018-02-01,65.09,KSS
2018-02-02,63.47,KSS
2018-02-05,61.14,KSS
2018-02-06,NA,KSS
2018-02-07,62.92,KSS
2018-01-02,107.16,KSU
2018-01-03,NA,KSU
2018-01-04,107.0,KSU
2018-01-05,109.19,KSU
2018-01-08,109.94,KSU
2018-01-09,110.47,KSU
2018-01-10,106.54,KSU
2018-01-11,107.65,KSU
2018-01-12,110.4,KSU
2018-01-16,111.0,KSU
2018-01-17,110.81,KSU
2018-01-18,111.5,KSU
2018-01-19,110.0,KSU
2018-01-22,110.96,KSU
2018-01-23,NA,KSU
2018-01-24,112.69,KSU
2018-01-25,111.42,KSU
2018-01-26,113.5,KSU
2018-01-29,113.7,KSU
2018-01-30,112.22,KSU
2018-01-31,113.13,KSU
2018-02-01,112.87,KSU
2018-02-02,110.15,KSU
2018-02-05,105.18,KSU
2018-02-06,107.32,KSU
2018-02-07,107.1,KSU
2018-01-02,67.97,K
2018-01-03,67.65,K
2018-01-04,68.73,K
2018-01-05,68.94,K
2018-01-08,NA,K
2018-01-09,NA,K
2018-01-10,67.02,K
2018-01-11,65.98,K
2018-01-12,64.69,K
2018-01-16,65.94,K
2018-01-17,66.51,K
2018-01-18,65.8,K
2018-01-19,66.62,K
2018-01-22,67.17,K
2018-01-23,66.93,K
2018-01-24,67.3,K
2018-01-25,67.91,K
2018-01-26,68.33,K
2018-01-29,NA,K
2018-01-30,67.94,K
2018-01-31,68.11,K
2018-02-01,68.32,K
2018-02-02,65.45,K
2018-02-05,64.13,K
2018-02-06,65.16,K
2018-02-07,NA,K
2018-01-02,59.89,LB
2018-01-03,58.16,LB
2018-01-04,51.0,LB
2018-01-05,50.36,LB
2018-01-08,NA,LB
2018-01-09,47.38,LB
2018-01-10,48.33,LB
2018-01-11,50.01,LB
2018-01-12,49.67,LB
2018-01-16,48.99,LB
2018-01-17,48.95,LB
2018-01-18,49.02,LB
2018-01-19,50.69,LB
2018-01-22,52.04,LB
2018-01-23,53.2,LB
2018-01-24,53.19,LB
2018-01-25,NA,LB
2018-01-26,52.27,LB
2018-01-29,52.11,LB
2018-01-30,50.99,LB
2018-01-31,50.09,LB
2018-02-01,49.35,LB
2018-02-02,47.51,LB
2018-02-05,45.99,LB
2018-02-06,47.2,LB
2018-02-07,49.11,LB
2018-01-02,47.86,LEG
2018-01-03,47.62,LEG
2018-01-04,47.73,LEG
2018-01-05,47.9,LEG
2018-01-08,NA,LEG
2018-01-09,NA,LEG
2018-01-10,47.48,LEG
2018-01-11,48.57,LEG
2018-01-12,48.8,LEG
2018-01-16,48.44,LEG
2018-01-17,48.5,LEG
2018-01-18,48.36,LEG
2018-01-19,48.25,LEG
2018-01-22,48.09,LEG
2018-01-23,47.35,LEG
2018-01-24,NA,LEG
2018-01-25,47.79,LEG
2018-01-26,47.83,LEG
2018-01-29,47.64,LEG
